pangolin,variant
P.3,Theta
B.1.351,Beta
AY.14,Delta
B.1.617.2,Delta2
B.1.1.7,Alpha
P.1,Gamma
B.1.1.28,B.1.1.28
C.37,Lambda
B.1.621,Mu
